smiles,homolumogap,C_count,N_count,O_count,S_count,X_count,pi_bonds,Predicted_esm,Predicted_Exp
c1ccc(-n2c(-c3ccccc3-n3c4ccccc4c4ccccc43)nc3ccccc32)cc1,3.529474432,31,3,0,0,0,37,19.77624016,2.973797126
C(#Cc1ccccc1)C(C#Cc1ccccc1)=Cc1c2ccccc2c(C=C(C#Cc2ccccc2)C#Cc2ccccc2)c2ccccc12,2.875868056,50,0,0,0,0,46,19.77624016,2.097897126
Oc1ccccc1-c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1,3.931566456,21,2,1,0,0,23,16.27653813,3.301808449
CC(=O)c1ccc(-c2ccc3c(c2)C(=O)c2cc(-c4ccc(C(C)=O)cc4)ccc2-3)cc1,3.622084548,29,0,3,0,0,27,19.77624016,3.065997126
Cc1cc2c3ccccc3oc2c2[nH]c3ccccc3c12,3.95660828,19,1,1,0,0,24,13.63970694,3.293808864
CC(C)(C)c1ccc(-c2cc(-c3ccc(-c4cc(-c5ccc(C(C)(C)C)cc5)c(C(=O)N5CCOCC5)s4)s3)sc2C(=O)N2CCOCC2)cc1,3.295424403,42,2,4,3,0,29,19.77624016,2.466697126
Nc1nc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)n1,2.979316547,44,5,0,0,0,44,19.77624016,2.374497126
N#Cc1c(N2CCCCC2)cc(-c2ccc3ccccc3c2)c2c1C(=O)c1ccccc1-2,3.590679191,29,2,1,0,0,25,19.77624016,3.065997126
CCCCCCc1ccc(-n2c3c4cccc(OC)c4nnc3c3c2c2nnc4c(OC)cccc4c2n3-c2ccc(CCCCCC)cc2)cc1,3.16932398,44,6,2,0,0,41,19.77624016,2.374497126
[NH3+]C(Cc1ccc(O)c(O)c1)C(=O)[O-],4.46897482,9,1,4,0,0,7,12.9633258,3.72910638
N#Cc1ccc2cc[nH]c2c1,4.359210526,9,2,0,0,0,11,11.60000195,3.677300074
CN(C)c1ccc(-c2nc3c(c4c2-c2ccc(C#N)cc2CC4)-c2ccc(C#N)cc2CC3)cc1,3.570043103,31,4,0,0,0,26,19.77624016,2.973797126
CCCCCCN1C(=O)c2cccc3cc(/N=C\c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc(c23)C1=O,3.269407895,37,3,2,0,0,32,19.77624016,2.697197126
CCCCCCN1C(=O)C(c2ccc(-n3c4ccccc4c4ccccc43)cc2)=C(c2ccc(-n3c4ccccc4c4ccccc43)cc2)C1=O,2.951009501,46,3,2,0,0,45,19.77624016,2.282297126
N=C(N)N,4.688207547,1,3,0,0,0,1,14.74895071,4.165760127
c1ccc(N(c2ccccc2)c2ccc(-c3nc4c5ccccc5c5ccccc5c4n3-c3ccccc3)cc2)cc1,3.1059375,39,3,0,0,0,44,19.77624016,2.604997126
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1nc2ccccc2nc1-n1c2ccc(C(C)(C)C)cc2c2cc(C(C)(C)C)ccc21,2.965095465,48,4,0,0,0,41,19.77624016,2.190097126
O=C(c1ccc(N2c3ccccc3Oc3ccccc32)cc1)c1cccc(C(=O)c2ccc(N3c4ccccc4Oc4ccccc43)cc2)c1,2.986478365,44,2,4,0,0,44,19.77624016,2.374497126
C[Si](C)(C)c1sc([Si](C)(C)C)c2c1sc1c2sc2sc3sc4c(sc5c([Si](C)(C)C)sc([Si](C)(C)C)c54)c3c21,3.742093373,28,0,0,7,0,29,15.9549558,2.96688832
Cc1ccc(C(=O)/N=c2\oc3cccc4c5c(-c6ccccc6)oc6cccc(c(c2-c2ccccc2)c34)c65)cc1,3.226948052,37,1,3,0,0,43,18.84049642,2.661638864
Cc1ccc(NC(=O)c2ccc(N(C)C)cc2)cc1,4.06004902,16,2,1,0,0,13,15.81430036,3.514743414
C1=C(c2ccccn2)[Si](c2ccccc2)(c2ccccc2)c2ccccc21,3.664823009,25,1,0,0,0,25,18.0938928,3.186467927
O=C1C=C(Nc2ccccc2)CCC1,4.211440678,12,1,1,0,0,8,12.34150374,3.567177142
CCOC(=O)c1c(-c2cc3cc4c(cc3oc2=O)OC(C)(C)CC4)nn(-c2ccccc2)c1C(=O)OCC,3.570043103,29,2,7,0,0,25,19.77624016,3.065997126
C/C(=C\c1ccc(C)cc1)c1nc2ccccc2o1,3.944047619,17,1,1,0,0,17,15.92480987,3.472842775
CC(C)(C)c1cccc2c(O)cccc12,4.197212838,14,0,1,0,0,11,13.34560249,3.513132895
COc1cc(C(=O)O)ccc1O,4.359210526,8,0,4,0,0,7,12.483417,3.756969846
BrC1=CC=CN2B1C=Cc1ccccc12,4.14125,12,1,0,0,1,9,13.80796166,3.622902543
CNC(=O)[C@H](C)NC(=O)c1cccc2c1C#Cc1c(NC(=O)[C@@H](NC(C)=O)C(C)C)cccc1OCCCO2,3.697544643,29,4,6,0,0,17,17.93570418,2.996056759
CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccc(Cl)cc6)nn5-c5ccccc5)s4)ccc(c23)C1=O,3.193766067,37,3,2,1,1,35,19.77624016,2.697197126
CN(C)c1ccc(/C=C/c2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)cc1,3.366869919,31,4,0,0,0,31,19.77624016,2.973797126
CCn1c2ccccc2c2cc(-c3cc(-c4ccc5c(c4)c4ccccc4n5CC)nc(S(C)(=O)=O)n3)ccc21,3.260826772,33,4,2,1,0,38,19.77624016,2.881597126
C/C(=C\c1ccc(C)cc1)c1nc2ccccc2s1,3.882421875,17,1,0,1,0,17,11.96352653,3.322314008
O=C1c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2S(=O)(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,2.621044304,49,2,3,1,0,51,19.77624016,2.143997126
C1=C(c2ccccc2)C=C(c2ccccc2)/C1=C/c1ccc2c(c1)Cc1ccccc1-2,3.235351563,31,0,0,0,0,27,19.77624016,2.973797126
COc1ccc2c3c(c4ccc(OC)cc4c2c1)C1(c2ccccc2-c2ccccc21)c1ccccc1-3,3.218588083,35,0,2,0,0,34,19.77624016,2.789397126
Cn1nc(-c2ccccc2)c2n[nH]nc2c1=O,4.155100334,11,5,1,0,0,17,13.38093262,3.65277544
Cc1ccc(-c2c3nc(c(-c4ccco4)c4ccc([nH]4)c(-c4ccc(C)cc4)c4nc(c(-c5ccco5)c5ccc2[nH]5)C=C4)C=C3)cc1,2.916373239,42,4,2,0,0,46,19.77624016,2.466697126
Cc1ccc(-n2c(-c3cccc4cc[n-]c34)[nH+]c3c4ccccc4c4ccccc4c32)cc1,3.330764075,30,3,0,0,0,36,19.77624016,3.019897126
CC(C)(C)C1CCC(=CS/C=C/c2ccc(/C=C/SC=C3CCC(C(C)(C)C)CC3)cc2)CC1,3.539529915,32,0,0,2,0,10,19.77624016,2.927697126
Nc1ccccc1C(=O)O,4.284051724,7,1,2,0,0,7,12.09047728,3.788138136
Cc1ccc(-c2c3nc(c(-c4ccc(C)cc4)c4ccc(s4)c(-c4ccco4)c4nc(c(-c5ccc(C)cc5)c5ccc2s5)C=C4)C=C3)cc1,2.810803167,45,2,1,2,0,47,19.77624016,2.328397126
CC(C)(C)c1ccc2c(c1)-c1c3c(c4c5c1-c1cc(C(C)(C)C)ccc1OB5Oc1ccc(C(C)(C)C)cc1-4)-c1cc(C(C)(C)C)ccc1OB3O2,3.022810219,46,0,4,0,0,30,19.77624016,2.282297126
