Actual,Predicted
12.09972,12.032706
10.99304,11.199121
13.76177,13.674491
15.79853,15.570527
17.14467,17.245556
17.37868,17.116505
15.87962,15.554212
15.65213,15.37784
12.98326,13.124388
15.3422,15.223389
15.82928,15.951365
15.90302,15.752437
15.27172,15.254055
13.32422,13.05045
11.59277,11.727445
14.3645,14.147912
12.64584,12.568353
14.13729,14.172435
14.29566,14.243143
11.85427,11.696321
13.63171,13.53642
14.21593,14.19656
14.66763,14.659564
15.81676,15.8475275
12.91986,13.019258
14.82247,14.731736
14.31525,14.234633
13.17673,12.966953
15.30601,15.253058
14.52342,14.4087515
14.11688,14.015063
13.95552,14.002949
14.20586,14.206233
13.98436,13.951064
13.27551,13.334434
11.81808,11.610942
16.96807,16.900593
12.47169,12.566755
13.56694,13.567962
13.19252,13.120513
12.73619,12.889107
14.12722,14.295495
13.35089,13.313417
15.6622,15.475469
12.62952,12.658786
16.69024,16.51449
12.19795,12.054079
13.21184,13.11155
14.12042,14.0227585
12.47578,12.276776
14.6758,14.732566
13.57402,13.429526
12.64149,12.634776
14.56668,14.537555
14.9841,15.069547
12.82353,12.54775
14.89893,15.065834
13.65184,13.719918
14.77811,15.067116
14.48341,14.388491
14.07035,14.205576
16.8633,16.678564
13.16694,12.737279
15.69431,15.838216
16.07663,15.870769
13.87144,13.884051
14.00287,14.033363
15.05104,15.2373705
13.93511,14.02666
13.53456,13.262265
14.80587,14.61395
12.90054,12.858113
15.87037,15.758745
15.37295,15.178197
14.84505,14.852048
15.47281,15.758893
14.2026,14.158917
14.48831,14.453421
17.22358,16.968729
15.37349,15.398713
13.54245,13.461584
15.77431,15.892001
13.02245,12.987721
13.58109,13.819979
13.34953,13.030843
11.83386,11.788787
15.2573,15.164264
14.70845,14.780134
11.78869,11.747506
16.1433,15.833422
10.68501,10.680814
15.36478,15.393539
16.77732,16.742575
13.03061,13.364042
16.30248,16.272104
13.99089,14.028394
13.2698,13.054734
12.68367,12.678663
14.08749,14.257755
11.92502,11.901993
16.435,16.35921
15.48016,15.376689
15.82329,15.710862
11.56638,11.911642
16.17459,16.149914
11.72556,11.883374
16.08261,15.95978
13.97593,13.848707
10.8529,10.653998
14.64641,14.65482
13.21946,13.21473
13.70817,13.578342
14.15334,14.095792
15.96289,15.574267
12.86979,13.030575
17.38739,17.317432
12.78244,12.74106
15.95472,16.211473
16.18547,16.185026
16.14955,16.160147
14.5928,14.591338
14.58872,14.57096
15.77105,15.563302
14.0562,13.934809
14.46682,14.311074
14.86736,15.140299
12.43142,12.646693
16.82412,16.569456
16.69514,16.555218
15.09403,14.98981
14.16994,14.095344
12.54979,12.580696
12.57156,12.430848
12.68312,12.576995
13.12912,13.122399
14.20396,14.434796
14.58165,14.361962
14.21511,14.166856
13.07333,13.173439
14.34518,14.376023
10.64446,11.0364685
11.35903,11.292758
15.42111,15.431367
11.2295,11.132485
14.93185,14.928462
11.93781,12.552459
10.86406,11.122558
14.27471,14.418066
17.4829,17.217228
14.77784,14.628422
15.14846,15.240819
13.75443,13.538861
12.06434,12.066981
15.91962,15.9299965
15.43308,15.693709
12.10761,11.927464
12.79877,12.743997
14.40369,14.390401
15.79717,16.004381
14.0445,13.947949
15.72179,15.702521
11.77237,11.842382
16.49187,16.604038
14.26436,14.242953
16.07173,15.9799185
15.9218,15.842336
12.94544,12.96322
12.20992,12.447942
15.18056,15.003003
13.16912,13.198941
13.72504,13.93275
14.35525,14.346806
14.15117,14.351423
14.58655,14.390285
12.70952,12.935029
11.60583,11.560954
15.83527,15.773319
14.00151,13.9649105
15.45948,15.54308
14.70981,14.640652
16.12833,16.16691
14.45403,14.41207
14.05538,14.180242
12.54571,12.636889
14.20722,14.147872
13.623,13.760693
14.95879,15.017467
12.06026,11.883515
14.09157,14.156401
16.27527,16.270437
14.20096,14.106696
15.17295,15.050678
14.38409,14.087249
14.4328,14.336135
14.68532,14.747245
15.29676,15.454175
11.84611,11.824731
15.22873,15.286106
13.12286,12.928197
17.0029,17.081102
11.99931,12.004894
12.30734,12.20453
17.29215,17.300425
16.23445,15.941519
16.77242,16.716356
13.41456,13.220957
12.71659,12.5469885
11.80692,11.581002
11.83196,11.833838
14.15253,14.132948
16.58357,16.470406
14.36913,14.38824
14.15906,14.133662
12.15142,12.427743
13.30898,13.458533
14.39362,14.370077
15.31281,15.185666
14.29892,14.350324
14.21811,14.164407
14.3977,14.493329
12.45128,12.336887
14.12477,14.077313
15.45594,15.492032
16.00914,16.15538
15.42519,15.221341
15.25594,15.411067
12.20802,12.166387
15.87173,15.729888
15.86384,15.803026
16.37078,16.074034
14.71906,14.507556
12.23659,12.053021
16.68044,16.692625
17.62603,17.37607
16.42112,16.212276
13.27606,12.99376
14.16287,14.203458
14.80369,14.722105
14.74981,14.778682
16.52969,16.33865
13.46681,13.776615
14.75743,14.682099
14.18409,14.068755
14.59226,14.549151
15.40968,15.44204
12.86653,12.748411
15.40125,15.181185
14.97403,14.898446
14.88587,14.888941
15.7169,15.533564
15.49268,15.361845
12.3389,12.407927
11.39876,11.455426
15.84234,15.618123
12.16965,12.270904
14.63661,14.388545
15.64506,15.5652275
12.43605,12.577925
13.98953,13.905267
15.37213,15.267665
11.84148,11.779353
14.01157,13.92166
16.73704,16.792227
14.54382,14.529626
16.62575,16.531118
11.59168,11.639078
14.2377,14.050027
12.07686,12.077867
14.12858,14.1138315
14.29266,14.344582
14.16831,14.283304
14.67553,14.496117
16.47935,16.345007
12.40992,12.407196
14.51335,14.379682
12.74108,12.656707
14.15307,14.2955265
11.96366,12.070516
12.29754,12.42293
12.65537,12.3382
16.33541,16.234983
12.53346,12.370057
